"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","route_sort_order","continuous_pickup","continuous_drop_off"
"2309-L19","2309-VtlsTrnsprt","L19","","","3","https://osm.org/relation/12032655","","","","",""
"2309-L14","2309-VtlsTrnsprt","L14","","","3","https://osm.org/relation/12032657","","","","",""
"2309-L16","2309-VtlsTrnsprt","L16","","","3","https://osm.org/relation/12032656","","","","",""
"2309-L11","2309-VtlsTrnsprt","L11","","","3","https://osm.org/relation/12032660","","","","",""
"2309-L12","2309-VtlsTrnsprt","L12","","","3","https://osm.org/relation/12032659","","","","",""
"2309-L13","2309-VtlsTrnsprt","L13","","","3","https://osm.org/relation/12032658","","","","",""
"2309-L21","2309-VtlsTrnsprt","L21","","","3","https://osm.org/relation/12032654","","","","",""
"2309-L23","2309-VtlsTrnsprt","L23","","","3","https://osm.org/relation/12032653","","","","",""
"2309-L25","2309-VtlsTrnsprt","L25","","","3","https://osm.org/relation/12032652","","","","",""
"2309-L24","2309-VtlsTrnsprt","L24","","","3","https://osm.org/relation/12032801","","","","",""
"2309-L27","2309-VtlsTrnsprt","L27","","","3","https://osm.org/relation/12032650","","","","",""
"2309-L26","2309-VtlsTrnsprt","L26","","","3","https://osm.org/relation/12032651","","","","",""
"2309-L29","2309-VtlsTrnsprt","L29","","","3","https://osm.org/relation/12032649","","","","",""
"2309-L6","2309-VtlsTrnsprt","L6","","","3","https://osm.org/relation/12032664","","","","",""
"2309-L7","2309-VtlsTrnsprt","L7","","","3","https://osm.org/relation/12032663","","","","",""
"2309-L4","2309-VtlsTrnsprt","L4","","","3","https://osm.org/relation/12032666","","","","",""
"2309-L5","2309-VtlsTrnsprt","L5","","","3","https://osm.org/relation/12032665","","","","",""
"2309-L2","2309-VtlsTrnsprt","L2","","","3","https://osm.org/relation/10205649","","","","",""
"2309-L3","2309-VtlsTrnsprt","L3","","","3","https://osm.org/relation/12032669","","","","",""
"2309-L1","2309-VtlsTrnsprt","L1","","","3","https://osm.org/relation/12032645","","","","",""
"2309-L8","2309-VtlsTrnsprt","L8","","","3","https://osm.org/relation/12032662","","","","",""
"2309-L9","2309-VtlsTrnsprt","L9","","","3","https://osm.org/relation/12032661","","","","",""
"2309-L36","2309-VtlsTrnsprt","L36","","","3","https://osm.org/relation/12032646","","","","",""
"2309-L34","2309-VtlsTrnsprt","L34","","","3","https://osm.org/relation/12032648","","","","",""
"2309-L35","2309-VtlsTrnsprt","L35","","","3","https://osm.org/relation/12032647","","","","",""
