"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_desc","stop_timezone","wheelchair_boarding","level_id","platform_code"
"2309-NODE/8197477238","","Colinord","35.655376","-5.319315","","","0","","","","0","",""
"2309-NODE/8197477239","","Jamae","35.659783","-5.318902","","","0","","","","0","",""
"2309-NODE/8171402908","","Saf Al Hamam 2","35.555249","-5.376743","","","0","","","","0","",""
"2309-NODE/8171402909","","Torreta","35.569565","-5.420434","","","0","","","","0","",""
"2309-NODE/8171402906","","El Filaha","35.640204","-5.323234","","","0","","","","0","",""
"2309-NODE/8171402907","","Dechrien","35.559767","-5.43643","","","0","","","","0","",""
"2309-NODE/8171402904","","Enissar Joue","35.43466","-5.39119","","","0","","","","0","",""
"2309-NODE/8171402905","","Tamuda","35.55623","-5.4163","","","0","","","","0","",""
"2309-NODE/8171402902","","Mosquée El Aela","35.573727","-5.402497","","","0","","","","0","",""
"2309-NODE/8171402903","","El Ksab","35.482558","-5.41159","","","0","","","","0","",""
"2309-NODE/8171402900","","Louziyen","35.564925","-5.420797","","","0","","","","0","",""
"2309-NODE/8171402901","","El Manar","35.5677","-5.336648","","","0","","","","0","",""
"2309-NODE/6897145456","","Abdelkhalek Torres - Esso","35.571735","-5.35886","","","0","","","","0","",""
"2309-NODE/8197188244","","Bouanane","35.548441","-5.371806","","","0","","","","0","",""
"2309-NODE/8197188240","","Mgaz Lhjar 1","35.550748","-5.363612","","","0","","","","0","",""
"2309-NODE/8197188241","","Mgaz Lhjar 2","35.552356","-5.365564","","","0","","","","0","",""
"2309-NODE/8197188242","","Torreta","35.5503","-5.369056","","","0","","","","0","",""
"2309-NODE/8197188243","","Bouanane","35.548426","-5.371899","","","0","","","","0","",""
"2309-NODE/8197425134","","Borojo","35.548041","-5.423081","","","0","","","","0","",""
"2309-NODE/8197425135","","Dar El Khayat","35.532064","-5.428664","","","0","","","","0","",""
"2309-NODE/8197425136","","El Akba","35.503819","-5.435828","","","0","","","","0","",""
"2309-NODE/8197425137","","Aboudi","35.497353","-5.434183","","","0","","","","0","",""
"2309-NODE/8197425138","","Ain Aicha","35.495098","-5.428438","","","0","","","","0","",""
"2309-NODE/8197425139","","Ben Dakoo","35.491718","-5.423662","","","0","","","","0","",""
"2309-NODE/8188220753","","Souk Ziana","35.577116","-5.362675","","","0","","","","0","",""
"2309-NODE/8197477234","","Rayhana","35.636839","-5.32436","","","0","","","","0","",""
"2309-NODE/6898562579","","Résidence El Wikaya","35.575549","-5.40855","","","0","","","","0","",""
"2309-NODE/8197477235","","El Filaha","35.640414","-5.323393","","","0","","","","0","",""
"2309-NODE/8197552108","","Kabila 2","35.726499","-5.340236","","","0","","","","0","",""
"2309-NODE/6907296517","","Ecole Mohamed Aziman","35.586204","-5.337336","","","0","","","","0","",""
"2309-NODE/8197477236","","Campo","35.645107","-5.322143","","","0","","","","0","",""
"2309-NODE/8197552109","","Sania","35.735798","-5.342122","","","0","","","","0","",""
"2309-NODE/8197477237","","Ghniwat","35.649966","-5.320841","","","0","","","","0","",""
"2309-NODE/6900317725","","Avenue Des Far - Safir","35.580984","-5.353034","","","0","","","","0","",""
"2309-NODE/6900317724","","Mandi","35.62617","-5.33138","","","0","","","","0","",""
"2309-NODE/6900317722","","Mallalienne","35.626566","-5.341542","","","0","","","","0","",""
"2309-NODE/8197477233","","Sdouki","35.631006","-5.325957","","","0","","","","0","",""
"2309-NODE/8242995661","","Brigade-Gendarmerie","35.448285","-5.093499","","","0","","","","0","",""
"2309-NODE/8242995663","","Ancienne Gare","35.566334","-5.366534","","","0","","","","0","",""
"2309-NODE/8242995662","","Brigade-Gendarmerie","35.448363","-5.093653","","","0","","","","0","",""
