"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"2309-L14","2309-Mo-Su","2309-344","Tamuda","","","","2309-relation/10179358","0","0"
"2309-L14","2309-Mo-Su","2309-345","Tamuda","","","","2309-relation/10179358","0","0"
"2309-L14","2309-Mo-Su","2309-346","Tamuda","","","","2309-relation/10179358","0","0"
"2309-L14","2309-Mo-Su","2309-347","Tamuda","","","","2309-relation/10179358","0","0"
"2309-L14","2309-Mo-Su","2309-340","Tamuda","","","","2309-relation/10179358","0","0"
"2309-L14","2309-Mo-Su","2309-341","Tamuda","","","","2309-relation/10179358","0","0"
"2309-L14","2309-Mo-Su","2309-342","Tamuda","","","","2309-relation/10179358","0","0"
"2309-L14","2309-Mo-Su","2309-343","Tamuda","","","","2309-relation/10179358","0","0"
"2309-L14","2309-Mo-Su","2309-348","Tamuda","","","","2309-relation/10179358","0","0"
"2309-L14","2309-Mo-Su","2309-349","Tamuda","","","","2309-relation/10179358","0","0"
"2309-L36","2309-Mo-Su","2309-1653","Ahrik","","","","2309-relation/11984007","0","0"
"2309-L7","2309-Mo-Su","2309-2318","Lot Souani (Place Palestine)","","","","2309-relation/11976409","0","0"
"2309-L7","2309-Mo-Su","2309-2319","Lot Souani (Place Palestine)","","","","2309-relation/11976409","0","0"
"2309-L7","2309-Mo-Su","2309-2316","Lot Souani (Place Palestine)","","","","2309-relation/11976409","0","0"
"2309-L7","2309-Mo-Su","2309-2317","Lot Souani (Place Palestine)","","","","2309-relation/11976409","0","0"
"2309-L7","2309-Mo-Su","2309-2314","Lot Souani (Place Palestine)","","","","2309-relation/11976409","0","0"
"2309-L7","2309-Mo-Su","2309-2315","Lot Souani (Place Palestine)","","","","2309-relation/11976409","0","0"
"2309-L7","2309-Mo-Su","2309-2312","Lot Souani (Place Palestine)","","","","2309-relation/11976409","0","0"
"2309-L7","2309-Mo-Su","2309-2313","Lot Souani (Place Palestine)","","","","2309-relation/11976409","0","0"
"2309-L7","2309-Mo-Su","2309-2310","Lot Souani (Place Palestine)","","","","2309-relation/11976409","0","0"
"2309-L7","2309-Mo-Su","2309-2311","Lot Souani (Place Palestine)","","","","2309-relation/11976409","0","0"
"2309-L13","2309-Mo-Su","2309-298","Rif (Rommana)","","","","2309-relation/11981829","0","0"
"2309-L13","2309-Mo-Su","2309-299","Rif (Rommana)","","","","2309-relation/11981829","0","0"
"2309-L13","2309-Mo-Su","2309-296","Rif (Rommana)","","","","2309-relation/11981829","0","0"
"2309-L13","2309-Mo-Su","2309-297","Rif (Rommana)","","","","2309-relation/11981829","0","0"
"2309-L13","2309-Mo-Su","2309-294","Rif (Rommana)","","","","2309-relation/11981829","0","0"
"2309-L13","2309-Mo-Su","2309-295","Rif (Rommana)","","","","2309-relation/11981829","0","0"
"2309-L13","2309-Mo-Su","2309-292","Rif (Rommana)","","","","2309-relation/11981829","0","0"
"2309-L13","2309-Mo-Su","2309-293","Rif (Rommana)","","","","2309-relation/11981829","0","0"
"2309-L13","2309-Mo-Su","2309-290","Rif (Rommana)","","","","2309-relation/11981829","0","0"
"2309-L13","2309-Mo-Su","2309-291","Rif (Rommana)","","","","2309-relation/11981829","0","0"
"2309-L5","2309-Mo-Su","2309-2147","Dar Takafa","","","","2309-relation/11976055","0","0"
"2309-L13","2309-Mo-Su","2309-270","Bouanane","","","","2309-relation/10186047","0","0"
"2309-L13","2309-Mo-Su","2309-271","Bouanane","","","","2309-relation/10186047","0","0"
"2309-L13","2309-Mo-Su","2309-272","Bouanane","","","","2309-relation/10186047","0","0"
"2309-L13","2309-Mo-Su","2309-273","Bouanane","","","","2309-relation/10186047","0","0"
"2309-L13","2309-Mo-Su","2309-274","Bouanane","","","","2309-relation/10186047","0","0"
"2309-L13","2309-Mo-Su","2309-275","Bouanane","","","","2309-relation/10186047","0","0"
"2309-L13","2309-Mo-Su","2309-276","Bouanane","","","","2309-relation/10186047","0","0"
"2309-L13","2309-Mo-Su","2309-277","Bouanane","","","","2309-relation/10186047","0","0"
"2309-L13","2309-Mo-Su","2309-278","Bouanane","","","","2309-relation/10186047","0","0"
"2309-L13","2309-Mo-Su","2309-279","Bouanane","","","","2309-relation/10186047","0","0"
"2309-L36","2309-Mo-Su","2309-1780","Rif (Rommana)","","","","2309-relation/11984006","0","0"
"2309-L5","2309-Mo-Su","2309-2146","Dar Takafa","","","","2309-relation/11976055","0","0"
"2309-L6","2309-Mo-Su","2309-2268","Dar Takafa","","","","2309-relation/11976231","0","0"
"2309-L6","2309-Mo-Su","2309-2269","Dar Takafa","","","","2309-relation/11976231","0","0"
"2309-L6","2309-Mo-Su","2309-2262","Dar Takafa","","","","2309-relation/11976231","0","0"
"2309-L6","2309-Mo-Su","2309-2263","Dar Takafa","","","","2309-relation/11976231","0","0"
"2309-L6","2309-Mo-Su","2309-2260","Dar Takafa","","","","2309-relation/11976231","0","0"
"2309-L6","2309-Mo-Su","2309-2261","Dar Takafa","","","","2309-relation/11976231","0","0"
"2309-L6","2309-Mo-Su","2309-2266","Dar Takafa","","","","2309-relation/11976231","0","0"
"2309-L6","2309-Mo-Su","2309-2267","Dar Takafa","","","","2309-relation/11976231","0","0"
"2309-L6","2309-Mo-Su","2309-2264","Dar Takafa","","","","2309-relation/11976231","0","0"
"2309-L6","2309-Mo-Su","2309-2265","Dar Takafa","","","","2309-relation/11976231","0","0"
"2309-L7","2309-Mo-Su","2309-2442","Rif (Rommana)","","","","2309-relation/11976408","0","0"
"2309-L7","2309-Mo-Su","2309-2443","Rif (Rommana)","","","","2309-relation/11976408","0","0"
"2309-L7","2309-Mo-Su","2309-2440","Rif (Rommana)","","","","2309-relation/11976408","0","0"
"2309-L7","2309-Mo-Su","2309-2441","Rif (Rommana)","","","","2309-relation/11976408","0","0"
"2309-L36","2309-Mo-Su","2309-1781","Rif (Rommana)","","","","2309-relation/11984006","0","0"
"2309-L7","2309-Mo-Su","2309-2447","Rif (Rommana)","","","","2309-relation/11976408","0","0"
"2309-L7","2309-Mo-Su","2309-2444","Rif (Rommana)","","","","2309-relation/11976408","0","0"
"2309-L7","2309-Mo-Su","2309-2445","Rif (Rommana)","","","","2309-relation/11976408","0","0"
"2309-L7","2309-Mo-Su","2309-2448","Rif (Rommana)","","","","2309-relation/11976408","0","0"
"2309-L7","2309-Mo-Su","2309-2449","Rif (Rommana)","","","","2309-relation/11976408","0","0"
